"ESTUDIO","CUES","CCAA","PROV","MUN","CAPITAL","TAMUNI","ENTREV","TIPO_TEL","SEXO","EDAD","P0","P1","P2","P3","P4","P4A_1","P4A_2","P4A_3","P4A_4","P4A_5","P4A_6","P4A_9","P4B","P4C","P4D","P4E","P4F","P4G_1","P4G_2","P4G_3","P4G_4","P4G_5","P4G_9","P4H_1","P4H_2","P4H_3","P4H_4","P4H_5","P4H_6","P4H_9","P4I","P5","P5A_1","P5A_2","P5A_3","P5A_4","P5B_1","P5B_2","P5B_3","P5B_4","P6","P6A","P7","P8","P9","P10","P11_1","P11_2","P12","P13_1","P13_2","P14_1","P14_2","P15","P16","P17_1","P17_2","P17_3","P18_1","P18_2","P18_3","P19_1","P19_2","P19_3","P19_4","P19_5","P20","P21","P22","INTENCIONG","ESCIDEOL","ESCIDEOLPOLI_1","ESCIDEOLPOLI_2","ESCIDEOLPOLI_3","ESCIDEOLPOLI_4","ESCIDEOLPOLI_5","P27_1","P27_2","P27_3","P27_4","P27_5","PARTICIPACIONG","FIDEVOTO","P31","ESCUELA","NIVELESTENTREV","RELIGION","ECIVIL","SITLAB","CNO11","CLASESOCIAL","IA_E1_DIA","IA_E1_MES","IA_E1_ANYO","IA_E2","IA_E3","IA_E4","P4A_7","P4A_8","P4A_10","P4A_11","VOTOSIMG","ESTUDIOS","CLASESUB"
3292,1454,1,29,0,3,4,0,2,1,78,1,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,NA,2,2,1,3,2,1,4,3,1,6,7,1,4,1,7,1,4,3,51,30,13,6,12,96,1,4,1,1,4,4,3,97,0,6,1,6,1,10,4,1,4,1,1,4,1,3,1,3,13,2,3,2,NA,3,3,9,20,4,20,2,NA,NA,NA,NA,1,6,2
3292,2161,1,29,0,3,4,0,1,1,70,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,4,1,1,3,6,2,4,6,1,5,2,1,51,98,99,53,8,98,1,4,1,2,9,4,3,6,3,5,1,5,1,10,5,1,5,2,1,10,1,3,2,3,11,1,1,1,1,2,4,9,20,5,20,1,NA,NA,NA,NA,4,6,1
3292,2164,1,29,0,3,4,0,1,1,38,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,1,3,1,2,2,3,1,3,5,2,3,8,1,5,4,2,96,89,99,22,53,49,6,2,4,1,3,2,3,5,1,5,6,9,1,10,5,6,2,1,4,3,1,3,3,3,11,6,2,1,2,4,4,9,20,5,20,1,NA,NA,NA,NA,2,6,3
3292,2508,1,29,0,3,4,0,1,2,65,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,1,2,98,2,2,5,3,2,6,5,2,98,99,1,8,4,2,53,8,99,53,8,99,1,5,1,4,3,4,2,2,0,7,2,5,1,4,6,2,5,4,1,2,1,1,2,3,4,2,5,2,NA,3,4,9,20,5,20,3,NA,NA,NA,NA,1,3,2
3292,184,1,29,0,3,2,0,2,2,88,1,2,3,98,1,1,2,2,2,2,2,2,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,1,NA,1,2,8,5,3,1,98,99,2,98,99,98,99,5,5,24,13,99,13,11,1,1,5,1,6,7,4,2,97,5,99,99,99,99,99,99,1,6,5,1,6,1,3,4,3,11,1,1,2,NA,4,1,9,20,2,21,3,2,2,2,2,4,6,3
3292,311,1,41,0,3,4,0,2,1,36,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,4,NA,1,4,2,1,2,4,3,8,6,5,2,10,1,9,3,3,2,24,30,96,48,96,9,1,3,1,5,97,2,4,3,4,5,7,4,5,10,98,4,6,8,2,97,5,5,6,3,12,6,1,1,1,1,1,9,20,2,20,4,NA,NA,NA,NA,18,6,1
3292,1104,1,41,0,3,4,0,2,1,39,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,3,2,3,1,1,4,3,1,5,2,2,6,1,1,98,4,2,8,13,90,22,9,99,5,1,4,3,3,3,4,6,3,4,4,8,2,9,6,8,3,7,7,6,1,3,2,3,7,4,1,1,3,3,2,9,20,3,22,3,NA,NA,NA,NA,4,5,2
3292,1980,1,41,0,3,4,0,2,2,54,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,2,1,1,2,2,4,3,2,7,6,2,6,9,1,3,4,3,8,53,98,8,6,22,6,1,1,1,1,3,4,1,1,1,5,10,7,10,10,8,3,1,2,1,1,2,5,3,4,6,2,1,10,12,3,9,20,4,16,3,NA,NA,NA,NA,2,3,5
3292,2296,1,41,0,3,4,0,1,2,55,1,1,3,1,1,1,2,2,2,2,2,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,5,2,2,1,10,4,5,3,2,53,1,51,29,97,99,7,4,4,2,4,2,3,1,1,5,4,8,1,10,4,6,3,1,1,5,1,2,3,3,11,2,1,1,4,4,4,9,20,5,19,2,2,2,2,2,2,6,3
3292,2237,1,41,0,3,4,0,1,2,41,1,2,3,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,1,2,1,1,1,1,1,3,1,3,5,1,1,4,1,4,4,2,19,6,9,22,6,9,9,2,9,1,2,2,4,4,2,3,6,10,2,10,8,9,1,1,10,2,1,3,1,3,9,4,1,1,3,3,4,9,20,5,19,2,NA,NA,NA,NA,21,6,2
